City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,carutapera,-1.195,-46.02,29.52,64,51,3.47,BR,1667491669
305,hami,42.8,93.45,6.18,37,0,1.13,CN,1667491669
306,mpika,-11.8343,31.4529,24.55,31,23,2.78,ZM,1667491670
307,chokurdakh,70.6333,147.9167,-23.1,93,99,1.97,RU,1667491670
308,caratinga,-19.7897,-42.1392,15.31,91,100,0.7,BR,1667491670
309,puerto escondido,15.85,-97.0667,29.46,70,75,3.6,MX,1667491671
310,moba,33.2288,105.0179,6.32,78,100,0.69,CN,1667491671
311,yulara,-25.2406,130.9889,18.51,30,0,6.33,AU,1667491412
312,seoul,37.5683,126.9778,6.66,34,78,5.02,KR,1667491542
313,camacha,33.0833,-16.3333,21.68,78,40,3.6,PT,1667491672
314,nioro,13.35,-15.75,34.74,22,75,3.42,GM,1667491672
315,north bend,43.4065,-124.2243,5.48,100,82,2.1,US,1667491175
316,iguape,-24.7081,-47.5553,20.86,46,21,4.38,BR,1667491672
317,princeton,25.5384,-80.4089,30.01,73,75,4.63,US,1667491217
318,havoysund,70.9963,24.6622,5.13,89,100,2.87,NO,1667491673
319,buraydah,26.326,43.975,23.05,43,0,5.95,SA,1667491673
320,leua,48.2156,18.6071,13.05,68,29,3.75,SK,1667491674
321,manakara,-22.1333,48.0167,21.97,92,100,3.7,MG,1667491674
322,reconquista,-29.15,-59.65,27.13,21,2,4.2,AR,1667491674
323,hualmay,-11.0964,-77.6139,20.19,69,46,4.76,PE,1667491676
324,bahia blanca,-38.7196,-62.2724,27.8,18,0,4.83,AR,1667491636
325,san lorenzo,-25.3333,-57.5333,25.52,31,20,3.6,PY,1667491676
326,sao filipe,14.8961,-24.4956,28.57,55,100,4.47,CV,1667491677
327,evensk,61.95,159.2333,-17.21,75,21,4.28,RU,1667491677
328,phu ly,20.5411,105.9139,21.99,63,94,1.01,VN,1667491678
329,kiruna,67.8557,20.2251,1.51,100,100,3.6,SE,1667491679
330,saint-joseph,-21.3667,55.6167,23.21,84,100,2.9,RE,1667491679
331,tateyama,34.9833,139.8667,22.28,68,7,11.04,JP,1667491679
332,hammerfest,70.6634,23.6821,4.25,81,0,1.54,NO,1667491680
333,praxedis guerrero,31.3667,-106.0167,17.7,36,43,1.68,MX,1667491680
334,almeirim,-1.5233,-52.5817,33.09,47,59,2.4,BR,1667491430
335,pitsunda,43.1592,40.3378,12.1,69,100,5.21,GE,1667491680
336,saint george,37.1041,-113.5841,8.02,68,75,2.57,US,1667491547
337,blagoyevo,63.3667,47.9167,-3.41,97,45,1.38,RU,1667491681
338,constitucion,-35.3333,-72.4167,16.57,65,19,3.03,CL,1667491681
339,auki,-8.7676,160.7034,24.75,88,100,1.15,SB,1667491681
340,kurud,20.8322,81.7214,22.99,63,0,2.18,IN,1667491682
341,puerto rico,-26.796,-55.024,26.7,33,0,0.2,AR,1667491682
342,naze,28.3667,129.4833,21.25,83,69,5.9,JP,1667491683
343,bo rai,12.5728,102.5371,24.85,83,92,1.7,TH,1667491686
